Date Time,Elapsed,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,T,T,T,D,D,D,ER,ER,ER,EC,EC,EC,EX,EX,EX,ET,ET,ED,ED,ED,
1/23/23 5:31,300,0.3162363,0.3005705,0.2766822,0.4887105,0.2460586,0.3379776,0.2260914,0.2309454,0.2459328,0.2526868,0.2678439,0.03730489,0.01392977,0.01764389,0.02053455,0.1117611,0.1213936,0.1199823,0.320353,0.3054281,0.364002,0.03230232,0.009121948,0.007198427,0.5483279,0.5349127,0.3775588,0.04823053,0.01979429,0.004241188,0.06543729,0.1477529,0.1267195,0.8320841,0.7174392,0.01742918,0.01742918,0.02652873,
1/23/23 9:31,304,0.3135631,0.2989621,0.2730241,0.4760672,0.2601591,0.3168591,0.2164636,0.2314588,0.2467423,0.2491344,0.2638263,0.03681893,0.01307207,0.01747677,0.01963785,0.1090061,0.1197933,0.118438,0.3326834,0.3089264,0.3700336,0.03458596,0.009143087,0.006416374,0.6009554,0.5370737,0.3645901,0.04849694,0.02031859,0.004477319,0.07984002,0.1296075,0.1278596,0.8692843,0.7350017,0.006924599,0.006924599,0.02776944,
1/23/23 13:31,308,0.3088773,0.2923949,0.2715726,0.4971521,0.2479382,0.3154078,0.2091618,0.2365816,0.2481708,0.2453325,0.2597312,0.036971,0.012916,0.01629776,0.01841771,0.1062041,0.1181552,0.1182058,0.3331177,0.3067982,0.3786828,0.03254274,0.008814353,0.006720882,0.6141599,0.5247345,0.3563152,0.04916238,0.02168234,0.004169096,0.06526804,0.1280044,0.1188508,0.8419693,0.7152281,0.005073297,0.005073297,0.01352041,
1/23/23 17:31,312,0.3056881,0.289494,0.2692176,0.4972939,0.25914,0.304752,0.209489,0.2367839,0.2465076,0.240244,0.2544705,0.03658063,0.01339774,0.01634182,0.01877954,0.104419,0.1150638,0.1159543,0.3510028,0.311154,0.383521,0.03075623,0.009632756,0.007728314,0.6284206,0.5144852,0.3421343,0.05129029,0.02364062,0.005081614,0.06792702,0.1288535,0.1254397,0.8598999,0.7299652,0.008020975,0.008020975,0.01097193,
1/23/23 21:31,316,0.3031723,0.2848295,0.2662013,0.5064193,0.2498371,0.2995079,0.1992008,0.2414669,0.2418982,0.2386227,0.2493147,0.03577583,0.01291242,0.01563305,0.01816362,0.1040094,0.112792,0.1152559,0.357708,0.3171858,0.3855838,0.03179524,0.008216615,0.005933474,0.6091604,0.5100955,0.3209998,0.05378152,0.02509679,0.005382061,0.06279095,0.123934,0.1251,0.820862,0.7536672,0.007084182,0.007084182,0.01691873,
1/24/23 1:31,320,0.2957386,0.2779417,0.2631861,0.5199156,0.2385909,0.2979156,0.1993224,0.2476848,0.2316489,0.2341614,0.2458752,0.03594301,0.01191386,0.01499296,0.01726454,0.1017344,0.1127851,0.1119662,0.3525847,0.3152663,0.3823058,0.02964143,0.01072928,0.006044593,0.6159634,0.5371383,0.3097908,0.05296116,0.02613927,0.005815948,0.06196148,0.1306804,0.1376613,0.8596604,0.7105893,0.005856868,0.005856868,0.01346307,
1/24/23 5:31,324,0.2923954,0.2802116,0.2607166,0.5381272,0.2586772,0.2893885,0.1891119,0.2528885,0.2268738,0.2303052,0.2417052,0.03515007,0.01179241,0.01451937,0.01662638,0.09971693,0.110075,0.1128271,0.3597376,0.3167595,0.385836,0.02924273,0.009066306,0.004353678,0.6517125,0.5516862,0.3238757,0.05448145,0.02738305,0.006726245,0.07417354,0.1372888,0.1184028,0.8968379,0.6793852,0.007553918,0.007553918,0.01782886,
1/24/23 9:31,328,0.2843009,0.2755249,0.2576684,0.57701,0.2703659,0.2989941,0.1880913,0.2602149,0.2228728,0.2250157,0.2367469,0.03718559,0.01144898,0.01400068,0.01616514,0.09947925,0.1071586,0.1085026,0.3604256,0.3180881,0.3880464,0.0301061,0.008601641,0.004286985,0.614002,0.5317912,0.3100312,0.05577311,0.02852496,0.007436881,0.06913874,0.1250046,0.1269397,0.9143266,0.6655343,0.01483917,0.01483917,0.01483917,
1/24/23 13:31,332,0.2813202,0.2707704,0.252443,0.5751862,0.2516845,0.2872804,0.1911245,0.2654802,0.2145434,0.2204676,0.2331017,0.03682865,0.01102577,0.0136747,0.01601898,0.1000113,0.1077446,0.1086462,0.3591629,0.3145274,0.384547,0.02748368,0.009834046,0.004074309,0.594583,0.5209468,0.3281228,0.05890337,0.03035391,0.007578075,0.06820043,0.1311575,0.1421609,0.8904761,0.6553775,0.005260175,0.005260175,0.005260175,
1/24/23 17:31,336,0.2343864,0.2408044,0.2297989,0.5395813,0.2166884,0.341049,0.2713242,0.2085756,0.1825435,0.1952704,0.2093294,0.02700184,0.009723369,0.01277709,0.01660162,0.08077388,0.09216066,0.08725963,0.3560099,0.2935125,0.3569227,0.03520622,0.02436915,0.0256821,0.6034463,0.5982132,0.4669099,0.05811875,0.03906031,0.0127243,0.05462146,0.1203565,0.1416381,0.9280619,0.6492592,0.004271127,0.004271127,0.004271127,
