Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,E-500;CX4945-05,E-500;CX4945-05,E-500;CX4945-05,E-500;CX4945-05,E-500;RXDX106-67,E-500;RXDX106-67,E-500;RXDX106-67,E-500;RXDX106-67,E-500;CX4945-1,E-500;CX4945-1,E-500;CX4945-1,E-500;CX4945-1,E-500;RXDX106-125,E-500;RXDX106-125,E-500;RXDX106-125,E-500;RXDX106-125,E-500;CX4945-2,E-500;CX4945-2,E-500;CX4945-2,E-500;CX4945-2,E-500;RXDX106-250,E-500;RXDX106-250,E-500;RXDX106-250,E-500;RXDX106-250,E-500;CX4945-4,E-500;CX4945-4,E-500;CX4945-4,E-500;CX4945-4,E-500;RXDX106-500,E-500;RXDX106-500,E-500;RXDX106-500,E-500;RXDX106-500,E-500;CX4945-8,E-500;CX4945-8,E-500;CX4945-8,E-500;CX4945-8,E-500;RXDX106-1000,E-500;RXDX106-1000,E-500;RXDX106-1000,E-500;RXDX106-1000,UT,UT,UT,UT,UT,UT,UT,UT,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;CX4945-05,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;RXDX106-67,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;CX4945-1,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;RXDX106-125,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;CX4945-2,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;RXDX106-250,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;CX4945-4,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;RXDX106-500,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;CX4945-8,E-1000;RXDX106-1000,E-1000;RXDX106-1000,E-1000;RXDX106-1000,E-1000;RXDX106-1000
72,13.14118,65.34808,13.63429,13.87944,16.9886,17.76423,10.93093,4.377254,5.26012,9.701541,7.702264,9.399475,6.469378,5.900718,5.665865,2.162478,7.441597,7.289391,77.5923,8.419471,5.821009,6.353242,4.857326,27.18235,40.93468,6.681531,7.324437,9.653013,6.155812,5.665606,4.972588,2.558006,3.655526,5.078685,6.345731,6.058894,6.000778,5.43862,6.063428,2.569138,1.905731,2.19172,2.836661,3.557201,4.004958,4.65136,4.8753,2.061899,9.702428,16.40166,16.39019,20.76426,14.47274,14.96673,18.52061,4.536509,5.279338,8.153313,8.241491,8.404515,4.710786,5.419526,5.276688,2.921916,5.193168,7.127103,7.974322,9.294539,5.344501,5.722287,5.170058,3.270269,5.026838,6.925522,6.857831,7.281017,5.919526,5.182159,4.499644,2.326773,3.262798,4.748593,5.883673,5.310998,4.645787,4.850128,4.267168,2.726521,1.599814,1.921055,2.513508,2.608747,3.500601,3.313729,2.773082,1.473571
75,14.27813,70.95148,14.52944,15.36942,18.28799,18.80017,11.79607,4.514642,5.288993,9.076691,7.809317,9.701308,6.475797,5.86522,5.733323,2.16159,7.51781,7.357271,76.8735,8.68601,5.782411,6.359675,4.796669,24.63011,39.31912,6.822771,7.546875,9.851357,6.207496,5.598394,4.950189,2.577824,3.670413,5.078015,6.422339,6.096823,5.958807,5.177721,6.01273,2.519026,1.894135,2.153491,2.782889,3.462126,4.045058,4.629493,4.857135,2.076308,10.4859,18.09743,18.28464,23.05567,16.16093,16.53555,21.00594,4.711401,5.305657,8.249918,8.415496,8.58169,4.633154,5.472341,5.279884,2.922599,5.340062,7.277493,8.107217,9.404734,5.299019,5.849527,5.076144,3.243348,5.208165,7.069875,6.987953,7.448564,5.901715,5.247828,4.475265,2.344242,3.368184,4.723475,5.882703,5.529897,4.650745,4.798322,4.265638,2.696269,1.556818,1.93668,2.701322,2.7189,3.524981,3.315273,2.742228,1.480045
78,15.34367,66.31362,16.19904,16.36079,20.03777,20.6891,12.92024,4.889642,5.34233,9.871763,7.891594,9.720429,6.44045,5.887224,5.627786,2.15222,7.640693,7.491545,79.03048,8.938988,5.61466,6.266307,4.776347,23.65877,38.42087,6.932022,7.878181,10.02035,6.244168,5.640679,4.896007,2.537341,3.787451,5.147604,6.583097,6.22226,5.966086,5.344501,6.025404,2.518753,1.923227,2.068537,2.740112,3.475634,4.003523,4.596099,4.852068,2.062773,11.88562,19.59972,20.1328,25.38709,18.3476,18,22.70594,5.040647,5.389983,8.335814,8.546765,8.712385,4.666316,5.436025,5.233145,2.929032,5.395242,7.212754,8.314685,9.661726,5.282929,5.740781,5.069766,3.261815,5.546438,7.149147,7.136267,7.507075,5.832714,5.275363,4.407383,2.27173,3.413106,4.786494,6.044075,5.750259,4.612202,4.782453,4.223639,2.607777,1.591264,2.002363,2.765038,2.743621,3.54402,3.29977,2.740562,1.454818
81,17.20243,63.73802,17.75507,18.21352,21.37161,22.4749,14.07856,5.042737,5.35469,9.697922,8.077742,9.822538,6.374549,5.804428,5.644504,2.183266,7.630818,7.506774,79.57796,9.023013,5.637224,6.343026,4.750983,24.40363,32.25769,7.102887,8.128823,10.29933,6.230605,5.567212,4.922954,2.555957,3.812937,5.314166,6.63258,6.462344,5.967807,6.259805,5.999686,2.503264,1.949929,2.029461,2.73279,3.412997,3.996244,4.594924,4.793857,2.059686,13.02381,22.15949,21.94505,27.65898,19.58801,19.74578,25.02181,5.472383,5.357955,8.396061,8.700215,8.915988,4.632525,5.444971,5.2363,2.944944,5.460418,7.321992,8.520514,9.789596,5.258768,5.653258,5.055042,3.288721,5.274803,7.23753,7.339393,7.676588,5.827005,5.221604,4.409309,2.261473,3.349008,4.826691,6.032588,5.747993,4.600798,4.753988,4.180425,2.611478,1.624399,2.082414,2.832618,2.805015,3.468545,3.266717,2.761951,1.463587
84,18.81845,73.14372,19.61197,19.65687,23.24444,24.90206,15.56001,5.424265,5.345211,9.305697,8.210596,10.05172,6.35077,5.799866,5.651019,2.156318,7.788885,7.627103,78.65359,9.345963,5.662983,6.312049,4.782847,26.02393,37.60151,7.062718,8.080897,10.48764,6.150486,5.623292,4.928936,2.610522,3.729212,5.363541,6.835801,6.507909,5.876065,5.86813,5.998456,2.494427,1.914172,2.064016,2.911481,3.537915,3.936858,4.525678,4.785648,2.043146,13.87235,24.49637,24.79104,30.35413,21.38852,21.35065,27.42057,6.002868,5.382307,8.424047,8.857285,9.062868,4.667026,5.367911,5.234553,2.923828,5.521621,7.442321,8.741968,10.0097,5.207946,5.727191,5.054127,3.244018,5.024871,7.367461,7.429728,7.895719,5.788912,5.164759,4.401633,2.24776,3.401019,4.887374,6.222806,5.644476,4.557433,4.72099,4.232094,2.627991,1.629808,2.121954,2.871038,2.781932,3.50799,3.261418,2.763713,1.458561
87,20.7674,62.55298,21.90757,21.39803,25.46646,27.37224,17.29828,6.081539,5.303035,9.264381,8.351085,10.17883,6.320518,5.761049,5.658271,2.155786,7.668406,7.672681,75.15373,9.616735,5.607982,6.304264,4.803499,28.09837,41.06824,7.24119,8.35047,10.63863,6.130353,5.563974,4.892373,2.585159,3.740289,5.400868,7.004397,6.472779,5.873497,6.033736,6.047039,2.515639,1.829395,2.096454,2.802776,3.421561,3.884042,4.529802,4.744004,2.045755,15.47789,26.84946,27.32556,33.64776,23.64696,23.69595,30.45162,6.609347,5.33673,8.502226,8.906237,9.025813,4.580597,5.260366,5.220294,2.891799,5.525827,7.482873,8.792162,10.17615,5.23458,5.671615,5.019531,3.299743,5.068441,7.487011,7.557077,8.062103,5.791056,5.057269,4.34797,2.256925,3.363226,4.88661,6.347629,5.842411,4.523738,4.667696,4.191939,2.61757,1.588,2.240835,2.862243,2.832592,3.527904,3.252745,2.766376,1.42854
90,22.35528,77.21667,24.35298,23.53226,27.44757,30.12508,18.71934,6.356738,5.276032,10.11366,8.529693,10.39378,6.281564,5.750013,5.666234,2.144217,7.729498,7.780403,77.48618,9.790168,5.57874,6.287273,4.818496,30.34808,46.54196,7.360686,8.416315,10.87804,6.08356,5.504766,4.885599,2.596727,3.756515,5.549101,7.266103,6.62093,5.862693,5.196433,6.019039,2.52722,1.835336,2.043925,2.940642,3.56769,3.878606,4.510585,4.749549,2.017524,17.07705,29.69576,30.43403,37.03678,25.76911,25.89038,33.96502,7.392509,5.339201,8.629152,8.98406,9.205665,4.593804,5.284309,5.225783,2.884656,5.554072,7.555042,8.907164,10.36604,5.211046,5.600961,5.01807,3.279351,5.384302,7.458028,7.80104,8.204123,5.757948,5.072238,4.353515,2.262046,3.444097,4.829026,6.424633,6.324246,4.553199,4.643944,4.195162,2.636022,1.548487,2.277986,2.918528,2.7985,3.554305,3.231794,2.792572,1.456799
93,24.53698,69.55879,26.63971,26.22684,29.44132,32.58674,20.86926,6.669703,5.302462,9.126871,8.619877,10.57298,6.169088,5.703753,5.660594,2.140229,7.696787,7.785225,82.49986,9.93235,5.571992,6.25273,4.793228,27.67723,38.39524,7.420522,8.738008,11.09118,6.025609,5.43328,4.917777,2.588928,3.853556,5.581676,7.175714,6.67798,5.800535,5.607368,5.930766,2.502199,1.809481,2.065327,3.046998,3.806477,3.898738,4.444015,4.734948,2.003688,19.25746,32.59074,34.04866,40.39317,28.3156,28.6038,37.74883,8.08255,5.41286,8.639683,9.151033,9.420508,4.561243,5.365426,5.193018,2.868239,5.676655,7.506924,9.036453,10.47569,5.158777,5.56672,5.017182,3.232203,5.363322,7.534009,7.876749,8.328603,5.733077,5.072224,4.337945,2.241477,3.397345,4.911085,6.357517,6.354512,4.523669,4.608706,4.164567,2.604485,1.578453,2.291999,2.939275,2.780184,3.521675,3.247952,2.776906,1.465281
96,27.04226,75.44612,29.28884,28.40391,32.02539,35.38505,22.98093,7.386992,5.268424,9.981915,8.75799,10.65513,6.155881,5.632936,5.578903,2.153764,7.813183,7.821009,76.34213,10.07302,5.515161,6.196186,4.76557,24.11707,42.40284,7.469733,8.941406,11.37138,6.018944,5.428253,4.94982,2.588887,4.036577,5.597752,7.734894,6.896457,5.827169,4.903642,5.923965,2.52046,1.809085,2.030171,2.929906,3.600811,3.92462,4.439302,4.666002,1.999836,21.21996,35.86013,36.8856,45.29384,32.26154,31.51438,42.12177,8.80485,5.314767,8.607299,9.232025,9.568496,4.54529,5.321542,5.225702,2.908107,5.692717,7.583437,9.217451,10.73495,5.128606,5.550563,4.987666,3.242488,5.409486,7.637183,8.104757,8.443659,5.680302,5.007457,4.349541,2.204436,3.444165,4.863719,6.471892,6.520297,4.515392,4.606179,4.161891,2.553868,1.512415,2.465062,3.079901,2.861301,3.565409,3.246831,2.821965,1.461429
99,29.14162,79.85696,32.15712,30.85679,34.14837,37.5344,25.03724,7.680453,5.260448,10.77626,8.70307,10.84714,6.12123,5.62056,5.624658,2.162874,7.873566,7.892673,78.08431,10.30583,5.525268,6.262306,4.774148,19.24103,45.56063,7.492352,9.029856,11.68023,5.982586,5.405608,4.922326,2.572061,3.900746,5.608118,7.647044,6.889368,5.793966,5.27632,5.938756,2.519381,1.796329,2.100565,3.015133,3.558252,3.871654,4.394094,4.68694,2.01415,23.01034,38.81382,40.66415,49.38289,35.32772,34.99424,45.81797,9.33957,5.34237,8.623293,9.391198,9.792068,4.543037,5.273669,5.251503,2.882772,5.72028,7.65416,9.358418,10.95336,5.127308,5.552325,5.04932,3.254111,5.817007,7.742364,8.299142,8.698835,5.766881,4.944479,4.328944,2.21621,3.430043,4.914458,6.567348,6.616805,4.471222,4.577428,4.185301,2.571897,1.511924,2.515912,3.012497,2.802953,3.480291,3.238472,2.848298,1.442116
102,32.06855,80.41105,35.57252,33.36319,36.6177,39.92057,27.43273,8.227096,5.304236,10.03903,8.921082,10.92321,6.039773,5.611915,5.591756,2.13146,7.853379,7.894886,80.39126,10.44989,5.494482,6.196064,4.797503,26.57505,42.15813,7.535511,9.199409,11.78888,5.936503,5.365576,4.786617,2.623115,3.951404,5.69157,7.926341,7.110577,5.752882,5.011268,5.830638,2.495288,1.76792,2.03222,3.167804,3.601467,3.842302,4.389997,4.686612,2.011992,26.01553,42.17056,44.22626,53.16643,38.59453,37.57571,49.7902,10.11881,5.350483,8.71905,9.532068,9.863199,4.452292,5.239005,5.234252,2.844064,5.783408,7.59207,9.504658,11.07698,5.106137,5.524995,5.045891,3.255327,5.399653,7.862749,8.417859,8.844064,5.703125,4.975265,4.354171,2.239333,3.475674,4.870697,6.768575,6.793324,4.42249,4.538584,4.194834,2.592712,1.497378,2.454832,3.001065,2.83199,3.502745,3.185451,2.894244,1.437022
105,35.19648,80.48754,39.0451,36.54256,39.56028,43.47813,29.81738,8.699792,5.377664,9.544322,8.973297,10.98715,5.989059,5.583793,5.618198,2.123129,7.945477,7.921315,81.64326,10.55892,5.409555,6.147371,4.746995,23.17029,45.20213,7.663065,9.498811,12.03221,5.946746,5.277753,4.867706,2.576308,4.136897,5.72379,8.075147,7.236355,5.801054,5.13568,5.850237,2.499577,1.79469,1.974254,2.976194,3.456348,3.920796,4.393958,4.638125,1.979308,28.63724,45.56198,48.62064,57.74523,41.84599,41.683,53.60415,10.83209,5.364756,8.785388,9.599022,9.96181,4.370684,5.249467,5.216564,2.858392,5.727232,7.670099,9.848926,11.30973,5.121667,5.522044,5.035252,3.232558,5.660265,7.917668,8.602313,8.892003,5.729349,4.945817,4.324792,2.185588,3.470129,4.923473,6.911891,7.044253,4.441529,4.500751,4.156236,2.55018,1.492789,2.433047,3.015884,2.831239,3.471249,3.179114,2.837685,1.425781
108,37.11383,81.76629,42.42749,39.04234,42.63584,46.33477,32.12732,9.477258,5.306299,9.566884,9.162531,11.26389,5.981438,5.499713,5.647427,2.092671,8.017879,7.943769,75.4818,10.95694,5.460186,6.181886,4.760189,23.65617,40.00974,7.571773,9.588463,12.35024,5.92589,5.261678,4.835186,2.599609,4.003305,5.753141,8.258837,7.27845,5.70001,5.0572,5.877198,2.454969,1.753059,2.019435,3.137579,3.629029,3.817922,4.300726,4.66327,1.99399,30.67386,50.83398,53.77977,62.83414,44.7516,46.21469,58.40509,12.14344,5.446378,8.808867,9.79637,9.967112,4.378715,5.163707,5.263917,2.818496,5.790565,7.845771,9.875299,11.52422,5.121285,5.516745,5.053157,3.229485,5.66256,7.97465,8.758646,9.064124,5.700297,4.814644,4.280758,2.197306,3.490084,4.869946,6.98197,7.176014,4.490835,4.540551,4.179059,2.597479,1.484115,2.302571,2.853242,2.700721,3.49283,3.198822,2.879029,1.430835
111,39.17311,81.75457,45.94451,41.83957,45.52456,49.90133,35.40033,10.0644,5.248347,10.22938,9.322962,11.48234,5.986505,5.481383,5.684003,2.098612,8.071856,8.036645,75.47804,11.25814,5.417914,6.086961,4.822238,28.90302,46.21635,7.713191,9.729348,12.51194,5.885448,5.225374,4.753811,2.575475,3.959653,5.761882,8.327305,7.461169,5.698973,4.970976,5.879807,2.496203,1.753483,2.052407,3.135626,3.700967,3.802857,4.298104,4.654228,1.983706,33.09202,54.24617,58.43147,67.17679,47.50108,49.75455,63.32751,13.40508,5.428964,8.877267,9.90431,10.20877,4.412806,5.099431,5.254889,2.837645,5.777467,7.864661,10.15062,11.63669,5.092711,5.499549,5.014068,3.273765,5.658613,7.98025,8.919962,9.175194,5.75071,4.857435,4.29977,2.215158,3.437951,4.967603,6.95602,7.537669,4.443728,4.5488,4.126393,2.615576,1.457277,2.332413,2.900732,2.689152,3.506966,3.176819,2.851221,1.431299
114,42.57969,82.62331,50.27217,45.17407,47.79369,53.54476,38.51359,10.69257,5.30216,9.69064,9.316434,11.60681,5.957522,5.423336,5.521456,2.104321,8.049729,8.056599,78.01463,11.31332,5.34315,6.047066,4.832113,27.40404,36.72095,7.767947,9.863909,12.78264,5.858432,5.213628,4.791507,2.563183,4.036399,5.770419,8.304851,7.56172,5.668665,5.283244,5.954641,2.421684,1.754862,2.028682,3.306436,3.499399,3.793911,4.320872,4.612721,1.956854,35.80219,58.10441,63.49209,72.49083,51.68547,52.83263,68.58519,14.76773,5.383085,8.955624,10.0737,10.27112,4.405799,5.103543,5.191925,2.804769,5.864032,7.894708,10.17433,11.79166,5.080925,5.487449,5.034009,3.264642,5.316092,8.079573,9.123182,9.491039,5.832413,4.811558,4.364783,2.211375,3.446801,4.902589,7.110084,7.376653,4.441939,4.469542,4.162655,2.555097,1.472028,2.370902,2.930056,2.764683,3.440054,3.166767,2.854963,1.403286
117,45.95262,86.33311,54.38215,49.49886,50.94717,56.50587,41.95661,11.47727,5.28125,9.696623,9.466496,11.66853,5.924305,5.468955,5.705159,2.127773,7.998989,8.150882,81.73994,11.52066,5.348052,6.038297,4.850538,24.72025,37.15704,7.78603,10.09484,13.0466,5.869195,5.148751,4.74227,2.557747,4.062746,5.792258,8.639696,7.690791,5.677775,5.093122,5.933743,2.453207,1.722889,2.031182,3.356835,3.666603,3.800849,4.306763,4.583575,1.959257,38.54361,62.4077,68.78084,77.36565,55.69131,56.68452,72.98106,16.24346,5.434345,8.886473,10.09341,10.36507,4.389764,5.175972,5.237939,2.83968,5.85249,7.913707,10.32023,11.89235,5.116559,5.495547,5.045918,3.218914,5.623908,8.085405,9.429454,9.659213,5.714188,4.772577,4.365193,2.230018,3.404283,4.922722,7.265214,7.819029,4.452743,4.589255,4.160429,2.631952,1.43276,2.400322,2.940163,2.710172,3.517564,3.169908,2.870001,1.407698
120,49.05524,87.62,57.87263,52.78574,53.41666,59.24528,45.70351,12.61425,5.210923,9.707344,9.727136,11.71568,5.982394,5.455105,5.631869,2.12978,8.07292,8.140162,79.04068,11.62777,5.358992,5.92309,4.842998,28.92021,44.03442,7.81239,10.37455,13.21491,5.894244,5.14673,4.8293,2.628524,4.092752,5.85678,8.700953,7.810875,5.633099,5.039799,5.892851,2.457291,1.713642,2.000601,3.360618,3.641663,3.804223,4.306299,4.590554,1.948413,41.43463,67.55079,72.47136,81.95857,59.171,61.55414,77.5304,17.73984,5.405267,8.956636,10.14986,10.48171,4.425713,5.043337,5.26684,2.794416,5.832372,8.014764,10.57409,12.08498,5.105155,5.49343,5.035867,3.230824,5.860454,8.144135,9.50885,9.759751,5.724609,4.769231,4.357053,2.243335,3.430793,4.915633,7.362202,8.007868,4.375068,4.52397,4.228202,2.624071,1.484635,2.350784,2.944056,2.661249,3.565313,3.203589,2.926505,1.413052
123,52.07658,91.61134,62.73415,56.36478,56.86609,62.42397,48.37136,13.16499,5.258523,10.0084,9.75672,11.67989,5.891486,5.440614,5.687977,2.14266,8.237967,8.170209,78.96336,11.65152,5.300726,6.051614,4.788529,33.46947,41.15116,7.959025,10.75306,13.54257,5.86197,5.151948,4.877308,2.57609,4.197511,5.946706,8.884027,7.977396,5.622432,4.946009,5.919266,2.442103,1.741218,1.934591,3.169075,3.610126,3.857299,4.297052,4.552611,1.945012,45.32376,71.83815,77.39732,86.07161,63.54839,66.08321,81.93617,19.64572,5.399871,8.972246,10.22331,10.55,4.410948,5.046875,5.251967,2.804701,5.882962,7.946187,10.778,12.22001,5.093313,5.377417,5.024284,3.205788,5.575174,8.308607,9.79682,9.861983,5.848203,4.806545,4.333069,2.207195,3.458165,4.889287,7.557282,8.066065,4.483678,4.477519,4.233801,2.557665,1.438934,2.380272,2.89561,2.679168,3.516171,3.184932,2.846755,1.408763
126,54.9119,93.01967,67.24533,60.21769,60.70419,65.76979,52.27971,14.31527,5.207646,9.337029,10.02834,12.12885,5.872091,5.384096,5.766772,2.125246,8.184753,8.17544,77.876,11.99799,5.285251,6.127267,4.831758,30.26907,32.97737,8.002991,10.89039,13.59369,5.872733,5.159596,4.805848,2.589174,4.129944,6.056067,9.223188,8.039254,5.533271,5.186585,5.976985,2.454764,1.709107,1.969706,3.307938,3.713423,3.869523,4.310738,4.584271,1.936612,48.17759,75.79593,81.82173,89.25314,66.458,70.72372,86.14034,21.65666,5.37336,9.057528,10.34965,10.73607,4.421683,5.052639,5.267605,2.76572,5.923131,8.046492,11.08859,12.35508,5.003988,5.497336,5.064576,3.219842,6.310805,8.336004,9.964338,9.976563,5.728652,4.815327,4.298404,2.230592,3.404269,4.896115,7.73768,8.064863,4.48768,4.590662,4.224828,2.607599,1.439316,2.429482,2.890324,2.70098,3.513508,3.202142,2.872214,1.423773
129,57.90007,93.40065,71.35228,64.12727,64.85954,69.2072,55.37322,15.41559,5.218326,9.567198,10.22318,11.9263,5.876121,5.462016,5.63101,2.152521,8.269858,8.199137,80.65501,12.05943,5.260366,6.064071,4.867692,24.7705,44.30079,8.094159,11.22384,13.89851,5.899339,5.120997,4.889122,2.596113,4.315395,5.903217,9.208071,8.228938,5.616081,5.523888,5.964775,2.509506,1.732955,1.91185,3.3013,3.650773,3.861574,4.319479,4.51068,1.948536,52.29826,79.88868,86.6365,92.36337,70.42448,75.34936,89.38291,24.2184,5.4434,8.964952,10.51943,10.82116,4.467302,5.053267,5.25814,2.827278,5.931449,8.143821,11.22436,12.46427,5.066023,5.486055,5.096168,3.222151,5.462344,8.576185,10.15868,10.10992,5.836183,4.860604,4.312103,2.208875,3.52169,4.863773,7.998497,8.229225,4.558211,4.52356,4.270788,2.552202,1.407206,2.547312,2.991463,2.769258,3.470294,3.128606,2.886322,1.425754
132,60.70974,92.73273,75.83134,68.92912,68.14439,72.62379,58.60847,16.69953,5.15334,9.827073,10.29062,12.05294,5.83214,5.333001,5.684659,2.078794,8.306462,8.192266,80.75481,12.2387,5.287683,6.055698,4.938018,26.9534,31.31396,8.063524,11.20225,14.20659,5.839652,5.214174,4.835691,2.607996,4.215062,5.974582,9.428867,8.40681,5.561571,4.771184,5.982503,2.475265,1.721386,1.894763,3.048132,3.84222,3.81306,4.30548,4.609771,1.927311,55.10714,83.68144,89.83518,94.82186,73.17445,80.27022,92.78508,26.02084,5.360358,9.065518,10.58874,10.88483,4.430493,5.083384,5.280389,2.785142,5.957208,8.257103,11.20648,12.67769,5.129275,5.467439,5.1141,3.29305,6.604471,8.593354,10.42418,10.37407,5.813278,4.745848,4.278518,2.219037,3.487844,4.845648,8.479417,8.215048,4.509356,4.59588,4.247965,2.616969,1.422858,2.38426,2.769422,2.644245,3.46513,3.16872,2.857996,1.401961
135,63.55766,93.41994,78.88649,71.57357,71.16698,76.21372,62.0356,18.31709,5.15965,10.0125,10.53738,12.01246,5.918296,5.398587,5.704314,2.105892,8.409855,8.262988,83.46214,12.59318,5.253264,6.072347,4.952797,18.05963,32.11937,8.144954,11.40764,14.47081,5.893766,5.212973,4.868403,2.606725,4.24317,6.057637,9.592834,8.499398,5.552147,4.933362,5.951063,2.466018,1.702142,1.880627,3.271457,3.868922,3.848722,4.333165,4.564261,1.930671,57.91207,86.97829,92.50208,96.53735,76.97942,82.71719,94.68379,28.43081,5.316243,9.068907,10.79177,11.00523,4.370738,5.140338,5.30227,2.792778,5.838819,8.176096,11.40976,12.83221,5.132402,5.535361,5.096372,3.238063,6.408639,8.63721,10.48913,10.58564,5.758017,4.813388,4.318209,2.217493,3.500123,4.813934,8.833055,8.466728,4.452182,4.599581,4.211456,2.65162,1.477532,2.376912,2.781878,2.605509,3.515488,3.140133,2.873867,1.405007
