Elapsed,UT,UT,E-500,E-500,E-67,E-67,E-500;R428-67,E-500;R428-67,E-125,E-125,E-500;R428-125,E-500;R428-125,E-250,E-250,E-500;R428-250,E-500;R428-250,E-500,E-500,E-500;R428-500,E-500;R428-500,E-1000,E-1000,E-500;R428-1000,E-500;R428-1000,AF154,AF154,E-1000,E-1000,E-67+AF154,E-67+AF154,E-1000;R428-67,E-1000;R428-67,E-125+AF154,E-125+AF154,E-1000;R428-125,E-1000;R428-125,E-250+AF154,E-250+AF154,E-1000;R428-250,E-1000;R428-250,E-500+AF154,E-500+AF154,E-1000;R428-500,E-1000;R428-500,E-1000+AF154,E-1000+AF154,E-1000;R428-1000,E-1000;R428-1000
93,32.05021,28.003,4.654542,3.953221,6.971986,7.275432,5.650622,4.425904,6.850633,5.661412,5.79025,4.645774,6.917859,7.045359,4.901784,3.136459,6.837167,7.505614,5.797612,3.80985,6.885722,6.397836,4.527303,3.988814,40.09273,44.69112,6.661617,4.412669,10.26005,9.980441,6.006979,4.08393,7.844924,8.282138,5.561831,4.074218,8.125423,7.244455,4.642237,3.834258,7.486137,6.321965,5.718504,4.038229,5.311488,3.81097,3.15095,2.24522
96,34.17335,30.18014,4.572866,3.923582,7.056053,7.385858,5.603843,4.45572,6.972902,5.767496,5.767988,4.64699,6.869688,7.152438,4.912738,3.140461,6.826868,7.598502,5.737762,3.788571,6.839515,6.460528,4.551791,3.956717,42.87443,48.53888,6.528422,4.389586,10.108,10.20789,6.019804,4.071664,7.911549,8.503742,5.521088,4.059973,8.076553,7.349486,4.584981,3.821419,7.467342,6.326649,5.613732,4.024626,5.333425,3.836757,3.195176,2.198604
99,37.2439,32.64828,4.619769,3.856629,7.203644,7.47226,5.586661,4.315873,6.940177,5.731685,5.772331,4.623115,6.923336,7.106001,4.906304,3.157179,6.809591,7.58912,5.65166,3.906537,6.870261,6.510736,4.507812,4.037437,45.47256,52.41581,6.585746,4.488978,10.42971,10.41883,5.962904,4.040647,7.890214,8.422666,5.539445,4.01949,8.212658,7.358582,4.539308,3.86339,7.475906,6.305875,5.648137,4.060369,5.359716,3.796206,3.212167,2.215431
102,39.44201,34.81666,4.63045,3.940136,7.20434,7.453712,5.580952,4.3526,6.920345,5.85316,5.674675,4.589092,6.921191,7.053376,4.873074,3.167832,6.782519,7.59435,5.738854,4.037778,6.90771,6.546519,4.495602,3.994127,48.95234,57.17107,6.658967,4.547135,10.59149,10.42702,6.024161,3.984266,7.90304,8.547846,5.548759,4.058375,8.332357,7.516212,4.572047,3.872145,7.379794,6.289772,5.622118,4.010804,5.212741,3.831949,3.133905,2.181722
105,41.6489,36.98449,4.60887,3.839693,7.200011,7.499017,5.497255,4.313661,6.943441,5.956881,5.667737,4.57542,6.818291,7.109757,4.864374,3.12179,6.833929,7.614783,5.735932,3.87795,6.973448,6.457823,4.535634,4.0457,52.29659,60.66296,6.645925,4.60973,10.76336,10.57315,6.0594,4.08662,7.878838,8.594706,5.561982,4.084285,8.198794,7.54178,4.534214,3.83983,7.450885,6.252103,5.598994,4.013453,5.189166,3.806271,3.186598,2.131597
108,43.43172,39.31603,4.614975,3.850374,7.434167,7.589038,5.564864,4.335869,7.19874,6.03013,5.676805,4.641622,7.060246,7.264778,4.889642,3.210008,6.890065,7.650391,5.742064,3.837672,7.072867,6.588191,4.542668,3.963655,57.159,64.53809,6.674565,4.5768,10.84369,10.66666,6.012839,4.076295,7.935,8.698453,5.461961,3.990931,8.263029,7.576636,4.552557,3.838464,7.559466,6.205679,5.608172,4.0174,5.135872,3.771088,3.149189,2.102669
111,46.25927,42.83801,4.549661,3.811011,7.554714,7.67854,5.591442,4.374794,7.097164,6.013043,5.733815,4.589707,7.169007,7.249849,4.94482,3.250191,6.856261,7.690736,5.662164,3.660047,7.014902,6.5877,4.461633,4.080638,60.61152,68.07811,6.666001,4.584025,11.16524,10.84139,5.983706,4.103829,7.896648,8.829299,5.464871,3.998252,8.32247,7.59151,4.550344,3.865494,7.516444,6.230727,5.640884,4.014942,5.105127,3.774107,2.993635,2.189794
114,49.09992,45.13562,4.491955,3.776716,7.612817,7.724199,5.560588,4.369318,7.021976,6.196214,5.760175,4.575763,7.171766,7.278504,4.950175,3.277467,6.856916,7.739812,5.663844,3.628824,7.049455,6.453848,4.513835,4.075284,65.23391,73.21535,6.623756,4.556995,11.19528,10.82321,5.843312,4.108433,7.76755,8.909925,5.430316,4.018821,8.403545,7.624972,4.61869,3.936421,7.613731,6.128264,5.685123,4.022399,5.11929,3.760968,2.991901,2.113582
117,51.51136,47.51948,4.531714,3.76893,7.69198,7.902589,5.560697,4.396142,7.209722,6.154679,5.7245,4.642087,7.200748,7.325392,4.880805,3.184686,6.926546,7.710801,5.6275,3.691515,7.142058,6.503851,4.532014,4.031796,69.55889,78.08042,6.671247,4.560342,11.38773,10.9536,5.830802,4.144804,7.831608,8.916206,5.443469,4.004657,8.37418,7.565614,4.587234,3.885859,7.677201,6.168719,5.631938,4.020979,5.060151,3.727341,3.030225,2.13131
120,54.0276,50.86086,4.512292,3.649284,7.696705,7.908722,5.523984,4.314425,7.148532,6.264983,5.753592,4.62485,7.210814,7.505859,4.864141,3.30044,6.862857,7.817731,5.699259,3.819971,7.079722,6.589734,4.590253,3.909951,73.13522,81.36652,6.636336,4.55888,11.38213,10.97012,5.96778,4.162861,7.909541,9.159705,5.39643,4.035047,8.209682,7.657698,4.653054,3.85163,7.535388,6.216783,5.660647,4.036016,5.062732,3.732312,3.038024,2.080583
123,56.50405,53.51166,4.51288,3.784227,7.801394,7.911263,5.479854,4.317294,6.969378,6.154748,5.708287,4.61817,7.152056,7.645433,4.827907,3.119755,6.77539,7.835774,5.718873,3.783612,7.102081,6.566556,4.674155,3.913257,76.26949,85.42471,6.606056,4.644204,11.30564,11.08684,6.013166,4.20669,7.910634,9.270801,5.369674,4.049211,8.377596,7.693128,4.585596,4.097478,7.568509,6.317704,5.590076,4.07665,4.962508,3.818797,3.09853,2.038598
126,59.29539,56.42358,4.467179,3.709831,7.969159,8.018821,5.530116,4.283777,7.149516,6.227217,5.819629,4.534815,7.190177,7.66398,4.915797,3.197498,6.991148,7.895446,5.63232,3.862106,7.126352,6.614142,4.602082,4.070805,79.14106,88.99031,6.599091,4.625887,11.79784,11.0531,5.869045,4.088054,8.009083,9.319262,5.41454,4.022986,8.302475,7.632813,4.555165,3.950981,7.521757,6.309468,5.623484,3.973175,4.966387,3.719679,3.070627,2.092931
129,62.41146,59.02406,4.509984,3.815546,7.965758,8.143752,5.49033,4.385736,7.365152,6.31799,5.814412,4.644818,7.329531,7.759123,4.863445,3.16842,6.976698,7.968258,5.652972,3.831116,7.225606,6.642332,4.614114,4.054332,82.48929,91.345,6.589665,4.63721,11.92917,11.21819,5.975647,4.215732,7.923896,9.402562,5.452428,4.01695,8.220224,7.791111,4.554018,3.918529,7.549428,6.27703,5.727874,3.94758,4.917723,3.772317,3.003374,2.125287
132,64.16113,61.58309,4.428363,3.811489,8.092985,8.237052,5.549374,4.441105,7.130668,6.504561,5.707305,4.64546,7.274325,7.72476,4.923663,3.251611,6.907493,7.928772,5.68444,3.761391,7.30406,6.693209,4.642701,3.939002,85.11228,93.21068,6.647658,4.582946,12.08206,11.32516,6.012361,4.206676,7.9241,9.53961,5.463368,4.05507,8.278314,7.847519,4.627444,3.870534,7.68963,6.281509,5.729663,4.008877,4.868471,3.76094,2.948768,2.105687
135,66.94475,64.42848,4.539704,3.831525,8.193933,8.200857,5.573167,4.331717,7.369304,6.437869,5.698535,4.620807,7.327388,7.775663,4.929919,3.219392,6.951253,8.050207,5.721181,3.724746,7.30623,6.631951,4.740494,4.041056,87.91955,94.35682,6.625587,4.677324,12.2788,11.40389,6.068659,4.409227,7.904665,9.466537,5.346645,4.072716,8.304564,7.967342,4.621244,4.007498,7.640405,6.297694,5.805684,4.119523,4.861218,3.776265,2.948918,2.089161
