Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
gsea,IL2 UP.V1 DN,-0.4476592981042625,-1.3388852994212912,0.07017543859649122,1.0,0.92,21/196,19.97%,PBXIP1;TCEAL4;ASPHD1;H2AFJ;UNC93B1;HDAC5;PRSS16;INHA;EFNA4;TXNIP;TNS3;BTN3A3;SLC24A1;SLC17A5;TMEM140;ZNF408;ARL4C;PBX1;ZNF629;KIAA0319L;VILL
gsea,PDGF UP.V1 DN,-0.38654121893806426,-1.322078899115163,0.16666666666666666,1.0,0.94,13/142,18.52%,CLCN7;MAPK3;PPP2R5B;RAD9A;CYB5R1;PRSS16;ARSE;COL4A5;HERC3;MAP7;ZBTB7A;HIST1H2AE;BCL3
gsea,VEGF A UP.V1 UP,-0.35809244489710135,-1.3176511157288575,0.10204081632653061,1.0,0.94,39/196,28.74%,RELB;CCS;HDAC5;DYRK1B;KIAA0556;RBMX2;PIN4;ETFB;TM7SF2;ZNF205;IRS2;ZC3H7B;TXNIP;IL32;PLTP;CLIP2;HLA-DMA;MGAT5;ARL4C;IFT140;SDC4;P2RX4;NEDD9;ATF3;DDIT3;RFNG;NFKB2;UBE2L6;IQCK;MYL9;ENO3;OVOL1;UBA7;ICAM1;CCDC57;TAGLN;CALCOCO1;HS3ST1;ME3
gsea,KRAS.300 UP.V1 DN,-0.44813924525895243,-1.3150120107491992,0.15217391304347827,0.9725577912224346,0.94,13/143,27.94%,DTX2;MXD3;DENND1C;RRAD;PROC;KRT16;PSORS1C1;VILL;MYL9;HSPB8;LFNG;TAGLN;SYNPO
gsea,AKT UP MTOR DN.V1 DN,0.30740629306521866,1.2989384826682138,0.1,0.42005704382426773,0.95,33/183,27.24%,MRPS6;MCM6;PSAT1;MOCOS;SLC7A5;DPYD;CAP2;TMEM97;CENPQ;PARP2;UTP20;SHMT1;TIPIN;CDC42BPA;PUS7;ASF1A;PHLDA2;TBCE;IL13RA1;ITGA6;S1PR3;POLM;PDIA5;AP2B1;IFRD2;HAUS1;FEZ2;PLEK2;RPS6KB2;CAMKK2;STEAP1;WEE1;ITSN1
gsea,CORDENONSI YAP CONSERVED SIGNATURE,0.38141634649406464,1.2890185898059485,0.1276595744680851,0.42609871534820826,0.96,16/57,24.42%,CENPF;TOP2A;SHCBP1;GGH;GLS;SH2D4A;HMMR;DDAH1;DUT;BIRC5;TK1;CDC20;HEXB;PHGDH;ECT2;EMP2
gsea,ATF2 UP.V1 UP,0.36762827389672936,1.2821739834149277,0.21428571428571427,0.42639970337411937,0.96,22/192,23.83%,DTL;GINS2;NCAPG;FOXM1;GINS3;PLK4;MELK;TRIM14;CBX5;LYPD1;FGFBP1;GTF3C5;RAD51;PODXL;POLD1;TK1;PLBD1;LIG1;BRAP;SMARCAL1;MAP2;NES
gsea,ESC J1 UP LATE.V1 DN,0.3330871241421288,1.2708810174505885,0.16981132075471697,0.43737322515212984,0.96,27/186,18.43%,ERCC6L;E2F8;POLE;XRCC5;ETAA1;WDR75;GPX2;TRAIP;STK4;PDSS1;RPP40;NEFH;BMS1;LMNB2;SYNCRIP;PUS7;ATPAF2;POLA1;TRMT1L;PIK3R4;SLC1A5;NSUN4;PHLDA2;TBCE;DBR1;WDR83;DDX27
gsea,RB P107 DN.V1 DN,0.3014691847087743,1.2620056046273735,0.12244897959183673,0.44391173397258593,0.97,27/128,22.51%,HSD17B12;ELOVL6;TARS;RARS;IARS;AIMP1;TDRD7;AARS;LPGAT1;UROS;PEX19;MYO1D;RDH11;SIGMAR1;NARS;SAR1B;GNG12;PIK3R4;BCCIP;SCD;NSUN2;S100A16;PHF8;CRABP2;LPCAT3;ARL1;NFE2L2
gsea,CAMP UP.V1 UP,0.30028198739644407,1.2503325645493508,0.16981132075471697,0.45982314494425225,0.97,48/200,27.73%,SLC25A5;HSP90B1;ZNF367;HSPA9;P4HB;ALDOA;NME1;ILF2;MAD2L1;CHAF1A;SSR3;DPM2;AARS;MTHFD2;SMYD5;NQO2;PA2G4;PDE4DIP;METTL17;HSPA5;CLPTM1;PRMT1;SDAD1;HNRNPU;SPOP;MARS;RPN1;ZBED5;NDUFB5;ATP1A1;PYCR2;SNW1;PRIM1;SRPK1;GPR160;EARS2;PLSCR1;IFRD1;CEP250;MRPS18A;UFM1;DIP2B;AHCYL1;IPO4;TGFBI;AZIN1;DPAGT1;LRR1
gsea,MEL18 DN.V1 DN,-0.38320846723172636,-1.2461327526541601,0.1568627450980392,1.0,0.98,18/148,25.65%,CRIP1;TRAPPC6A;SCNN1A;FANCF;PHYH;MVP;IFI6;ESRP1;JUP;PRPF6;MAP7;IFITM1;TSPAN1;SLPI;UBE2L6;AQP3;PDLIM5;SYT17
gsea,DCA UP.V1 UP,0.32217287794741184,1.240813903111452,0.11904761904761904,0.47008596542065095,0.97,10/191,14.78%,AURKB;PAK1IP1;PRRG4;USP6NL;CASP2;WASL;CDC45;COPG2;PLAA;HHLA1
gsea,ATM DN.V1 UP,-0.33371606353192895,-1.2404002210514486,0.1111111111111111,1.0,0.98,8/146,13.80%,TIAM2;STAG3;FSTL3;NUMB;PLTP;LHB;PTK2B;LHPP
gsea,PDGF UP.V1 UP,0.2985383350214428,1.2273823714510985,0.14285714285714285,0.4843863471314451,0.97,34/146,26.67%,CDC6;CDC25A;ANXA7;RNF4;SLC7A5;ELP4;GPSM2;CDK6;NDUFS1;SNRPD3;ETS2;SNRNP40;SLC20A1;MOB1A;ADAM9;PSMC6;LSM1;EXOSC10;RNF14;RAB35;NRAS;KLF10;ORC2;MRPS11;PSMC3;IFNAR1;NBAS;URB2;CAPZA2;UAP1;MAPK6;CCNE1;FAM98A;ATXN2
gsea,CAMP UP.V1 DN,0.3147908038290112,1.2270266788807507,0.2,0.4721354214254823,0.97,41/200,24.48%,GLO1;ME1;NAP1L1;ARHGAP5;SRRM1;HSPA8;HSP90AA1;NPEPPS;INSIG1;CDCA7L;ACAT2;TMEM97;EIF4E;UBTD2;GLS;SEL1L3;SYPL1;TUBB4B;DDAH1;ETS2;LRRFIP1;TUBA4A;PALLD;TIMP2;PLS3;GNG12;MBD2;MAPK1;GNAQ;RAP2A;IL4R;TSPAN5;DST;ESYT1;KLHDC4;ENO2;MAP2;CLK1;BCL2L13;DNAJA1;IDS
gsea,LEF1 UP.V1 DN,-0.2982480934972658,-1.2154770670244153,0.14893617021276595,1.0,0.98,34/190,26.12%,TRPM4;ENST00000634790.2;ENC1;ACSF2;MVP;OPN3;CAT;TPM1;HCFC1R1;MXD3;MFGE8;TMEM144;TNS3;BTN3A3;PDGFC;RRAGB;SLC24A1;GATA6;PDZK1IP1;TMED3;TNNC1;SMAD4;TSPAN1;NME3;KIAA0319L;VILL;PRSS8;RAB25;MDFIC;ALDH5A1;CTSH;PAPSS2;IL18;TCEAL1
gsea,SIRNA EIF4GI UP,0.27550250588140746,1.2085981269319297,0.1568627450980392,0.5074552507028219,0.97,19/95,21.01%,SLC25A5;CSE1L;NCAPD2;HSPD1;KIF2A;ENST00000639558.1;MRPS30;AFG3L2;DTX4;THADA;DDX50;PDHA1;CCT4;ENST00000635567.1;ATP1A1;DRG1;PSME1;ESYT1;CSDE1
gsea,SNF5 DN.V1 DN,-0.2747267998590058,-1.1979072878937875,0.09090909090909091,1.0,0.99,29/164,29.18%,CD99L2;TRAPPC6A;SLC9A3R2;RRAD;ATP9A;FBLIM1;CDKN2A;DNASE2;MGST2;PDZK1;FLYWCH2;MAPK13;CBR3;TNFRSF21;P2RX5;FADS3;SLC38A10;YIPF2;SNCA;SPEG;SLC16A3;PDLIM5;TINAGL1;ENO3;KRT18;ENST00000639692.2;RIMKLB;LOXL4;SIM2
gsea,RB P130 DN.V1 UP,0.3432193346806994,1.1971497645996831,0.2549019607843137,0.5204949058904434,0.97,15/133,16.54%,AURKB;KIF20A;ORC1;CDK1;KIF22;UBE2C;RABEPK;HMGA2;CCNB2;RACGAP1;SGSM3;CDC7;GPN3;BIRC5;STAT5B
gsea,YAP1 UP,0.3595515401786316,1.1909307058024108,0.24390243902439024,0.5183682668469687,0.97,8/47,18.15%,SNX7;MOCS2;MSN;RPN2;DDB2;YWHAZ;ZNHIT6;NRAS
gsea,BCAT BILD ET AL UP,-0.327626006755924,-1.190203688832286,0.1590909090909091,1.0,0.99,7/49,12.35%,RPL37A;CAPS;FOXQ1;DTX2;RPL27A;EEF2;CD2BP2
gsea,KRAS.LUNG.BREAST UP.V1 DN,-0.42478888521723535,-1.1826916366759848,0.27450980392156865,1.0,0.99,13/145,26.14%,NYNRIN;DTX2;MXD3;PROC;GAMT;THNSL2;LGALS9;MEGF8;KRT16;PBX1;ALDH5A1;MYL9;PTPRU
