Gene_ID,PC9_CTRL_NOTX_1,PC9_CTRL_NOTX_2,PC9_CTRL_NOTX_3,PC9_CTRL_OT_1,PC9_CTRL_OT_2,PC9_CTRL_OT_3,PC9_YAP14_NOTX_1,PC9_YAP14_NOTX_2,PC9_YAP14_NOTX_3,PC9_YAP14_OT_1,PC9_YAP14_OT_2,PC9_YAP14_OT_3,s4006_CTRL_NOTX_1,s4006_CTRL_NOTX_2,s4006_CTRL_NOTX_3,s4006_CTRL_OT_1,s4006_CTRL_OT_2,s4006_CTRL_OT_3,s4006_YAP30_NOTX_1,s4006_YAP30_NOTX_2,s4006_YAP30_NOTX_3,s4006_YAP30_OT_1,s4006_YAP30_OT_2,s4006_YAP30_OT_3
SCN5A,1.15051,1.24794,1.12144,0.232243,0.319576,0.269405,2.57032,2.16863,2.23366,0.5712,0.618922,0.465463,0.052196,0.0656461,0.0220065,0.0450522,0.027325,0.067631,0.0473918,0.0298097,0.0686926,0.0400928,0.00703981,0
CLPSL2,1.64266,1.31573,2.8571,1.0442,0.878466,2.40432,1.35107,2.57689,0.858209,1.08577,3.59026,2.44114,1.3603,1.01626,0.591438,1.33506,0.825366,1.64502,1.37022,0.435076,0.503383,3.57254,2.3775,1.24304
MROH2A,0.0112921,0.0344083,0,0.0105506,0.05185,0.0571152,0.0117775,0.0224633,0.0192831,0.0432484,0.0558876,0.00936828,0.0355741,0.0463968,0.011668,0.230848,0.162972,0.215095,0.0282587,0.037927,0.0198608,0.223162,0.224099,0.283127
TRAF6,1.60899,1.29221,1.66152,1.93687,1.97931,2.17649,1.81086,1.87579,1.89778,2.4363,2.40012,2.25377,7.99239,7.52187,7.97244,13.3736,12.0429,11.7249,7.86169,7.77323,7.57167,14.1347,13.4595,13.4198
ELFN1-AS1,1.23116,1.12707,0.731205,0.461433,0.340127,0.415377,0.901359,0.367131,0.527061,0.118207,0.122202,0.204847,0,0,0,0,0,0,0,0,0,0,0,0
ZFYVE21,54.4702,56.8213,53.9819,59.4608,59.0988,57.6616,58.3863,58.0756,56.4422,55.6094,61.6787,56.7987,27.1253,27.9204,27.7886,22.1369,25.4769,25.0514,28.1797,26.5546,26.2289,27.4914,26.8006,24.9775
GGPS1,24.0141,23.7612,24.581,21.9929,24.4018,25.0605,23.2702,21.6357,24.181,20.4336,21.5056,20.9781,23.9111,24.5322,25.408,21.3394,26.2498,26.2112,27.4123,27.6934,27.0727,30.5085,27.4023,26.8891
XPO5,10.7899,10.5952,9.78472,7.19206,6.80141,5.97419,11.581,10.409,10.9061,6.7266,6.61013,7.27847,5.73008,5.21368,5.01304,3.44375,3.094,2.81012,5.38358,5.42854,5.52775,3.06841,2.92404,3.02541
KLHL10,0.0320649,0,0,0.059919,0.0883398,0.054065,0,0.0637865,0.0273781,0.030702,0.0952189,0.0266021,0,0.0658785,0,0.0226039,0.0308516,0.0678648,0,0,0,0.120711,0.063635,0
POLE,8.74357,8.62501,8.12323,2.97008,2.64705,2.83586,9.69134,9.22741,9.19908,2.00075,2.00236,2.12086,5.63358,5.86827,5.29055,2.13641,1.49005,1.30951,6.07599,5.96057,5.86459,1.81999,1.72787,1.53631
TMC1,0.0578971,0.0392043,0.0571323,0.252446,0.230401,0.30912,0.0201287,0.0767829,0.0329564,0.461968,0.515788,0.384267,0.0202663,0.0594734,0.039884,1.60536,1.70833,1.56236,0.0321975,0,0.0678892,2.36112,2.05864,2.34499
ADTRP,2.18529,2.35193,1.64241,2.16352,1.69454,2.06224,1.88681,2.5191,2.10068,1.59358,1.89885,1.59089,0.151966,0.260164,0,0.306058,0.313296,0.382869,0.150897,0.334176,0.254555,0.238354,0.215399,0.139554
MYEOV2,429.909,415.299,397.2,380.899,386.943,389.174,525.542,488.581,484.429,365.363,397.072,384.944,293.559,330.873,279.466,151.48,183.144,191.095,260.231,287.71,276.356,122.483,141.383,142.065
CCDC28B,2.5009,1.57667,2.4684,1.04748,1.9799,2.32691,3.05814,2.40174,1.25176,1.81659,1.87799,1.93174,1.53953,1.41768,2.13913,3.58678,4.23171,4.65429,2.8775,1.01378,1.44129,2.84119,3.33733,4.32451
MIR3065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C8orf76,20.2462,18.69,21.1733,16.6543,17.8625,16.1425,19.1855,20.045,20.9093,21.6103,18.9173,18.6979,19.6099,19.7368,20.2655,13.9842,18.059,17.2295,25.2419,22.7023,21.2857,21.228,16.7277,18.1479
MAGT1,24.9821,25.4668,26.9166,20.5532,21.8848,21.3283,26.6091,26.4607,27.4361,22.6147,21.3395,21.3041,54.4411,53.1678,56.5435,46.5958,44.4002,45.9642,55.1315,56.9203,53.7589,50.3359,50.473,49.5124
WDR3,21.8373,19.7975,21.432,12.7098,12.3477,12.6886,19.0156,18.2439,17.7716,9.97968,9.66242,10.11,23.7419,23.3857,25.2489,11.0988,11.6189,11.0297,23.5614,24.0145,21.7935,10.0458,8.82686,10.0208
FRMD6,12.3502,12.7547,13.1824,11.4446,10.6028,12.1694,13.9566,12.9956,14.2188,8.99838,7.85254,8.4185,26.8715,27.0701,28.7847,20.3203,19.996,21.6785,28.9011,28.5682,25.3903,14.538,13.3989,14.9636
LOC101928943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPME1,19.9444,19.157,19.5354,20.3084,20.3835,17.669,14.4531,13.6914,13.5643,13.7917,15.3372,14.6145,28.6195,27.7353,27.0659,29.7724,26.5107,25.3272,27.9645,27.4075,29.1591,24.6724,25.3366,23.4136
FLNA,120.73,123.009,116.414,161.031,140.899,133.01,106.563,102.637,100.35,128.533,130.515,136.555,123.416,121.403,119.774,242.638,180.987,168.043,101.292,100.883,110.721,95.0439,96.6143,91.7259
CAT,22.5548,22.9651,23.9192,26.2584,26.6709,28.6034,22.0559,23.2029,21.7331,29.0503,28.9391,27.8965,196.686,206.994,200.947,218.024,222.989,233.104,195.17,194.662,188.964,234.563,241.422,240.163
NCKAP1,108.88,109.916,110.915,83.8441,85.1118,83.1017,106.086,106.414,106.973,92.4479,84.2151,87.2482,39.4468,34.4967,42.3047,43.3688,39.9959,43.3261,38.2781,38.3182,36.4609,44.1319,42.3434,43.414
CEACAM20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORA25,64.587,131.203,25.9627,24.1384,11.8626,22.1801,40.4181,51.393,77.2052,0,63.9318,21.4334,54.2593,27.0265,95.1537,27.3181,87.0001,95.6879,43.1014,54.2326,138.829,86.6627,25.6354,24.9138
CASR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118028,0,0,0,0,0,0,0
OR51A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAF3IP2-AS1,2.13428,2.4651,1.9935,1.40319,1.45626,1.40611,2.30217,1.81838,2.03551,2.19621,1.56361,2.20227,1.64408,1.25808,0.98077,1.45078,1.94444,1.44627,0.636179,1.0924,1.23657,1.16287,1.52194,1.76761
LCNL1,0,0,0.0350034,0,0.0325738,0.0299036,0.036995,0.0352803,0,0.067925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHL1,0.109637,0.167195,0.189399,0.102531,0.151056,0.404615,0.715388,1.14649,0.866759,0.577936,0.622852,0.750092,24.3804,24.882,25.0624,19.5143,18.5467,18.9801,19.5832,20.4018,18.4898,8.23989,9.29664,8.78803
SSX4,0.06815,0.0330305,0.115248,0.0905263,0.0727482,0.0499917,0.0987469,0,0.0190156,0,0,0,0.00906529,0.0791367,0,0.267255,0.183459,0.151588,0,0.0488394,0.00973392,0.131712,0.266843,0.118963
MIR4436A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC5D,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251388,0.0168585,0.0115015,0,0.0086329,0.0408301,0.0136999,0.0430441,0,0,0
ZNF691,7.29818,7.72836,6.77549,9.00096,8.53661,8.52046,7.03326,7.21094,6.84669,8.43244,9.84758,9.28861,4.14796,4.18239,3.69854,4.69519,5.63271,4.74519,3.77467,4.07681,4.34198,6.6306,5.46073,7.41489
LOC101929207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIFR,1.30361,0.979835,1.10749,1.35042,1.33155,1.41481,0.932783,0.912995,0.824967,1.72965,1.48704,1.59167,3.17465,3.06856,3.26264,5.94071,5.63194,5.64965,3.67694,3.24968,2.88997,7.067,6.77561,6.25891
MIR550A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCCHC2,1.59181,2.34272,2.07295,1.36588,1.32261,1.4423,2.14589,1.91718,1.82143,1.4412,1.05044,1.23078,1.23948,1.22354,1.01821,1.32061,1.26068,1.24906,1.28268,1.30024,1.22845,1.28402,1.55804,1.36798
LOC100505776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1245B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KLK13,0,0,0,0,0,0,0.0573399,0,0,0,0,0,0,0,0,0.0775106,0,0,0,0,0,0,0.0545523,0.0530166
ZSWIM3,1.41685,1.41662,1.31077,1.86163,2.43968,2.16494,1.91648,2.04785,1.89312,3.01003,3.00219,2.46114,1.63241,1.77343,1.78395,1.95079,2.15889,2.22563,1.55125,1.56149,1.73278,2.06265,2.09497,2.32706
SPATA16,0,0,0.0900312,0,0.0279278,0.0256381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNG11,20.5748,21.2908,19.6961,16.6944,13.7804,17.0874,30.4948,30.1585,32.2291,15.2566,18.2989,15.7861,1.54329,1.66886,2.1584,1.74485,2.97688,3.27416,0.967838,1.10413,1.08858,1.0193,0.844274,0.745916
MIR4727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3orf58,6.60117,7.20094,7.12053,6.43902,6.39522,6.29773,7.75346,6.36808,6.87168,5.41985,4.76271,5.0272,3.28557,2.71199,3.77496,2.34634,2.662,2.85176,3.5755,3.49273,2.70359,2.86001,3.26628,3.13939
DEFA11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR125B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM231D,1.16925,0.936321,1.3906,0.328685,1.03156,0.384582,0.93194,1.15634,1.58585,1.2871,1.51776,1.0677,1.48376,1.36761,1.49134,0.799967,2.6083,2.01079,1.55008,0.417574,1.27959,2.51943,1.66102,2.8467
MIR1295A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCAPG,30.0507,27.7627,29.3828,11.1657,10.6302,11.1888,24.1938,25.8404,26.8841,5.99512,5.7007,5.65339,27.8623,25.1125,27.6129,1.34432,1.08866,1.02248,31.3644,30.8723,29.7445,0.921259,0.769522,0.527185
MRPL37,156.157,152.861,161.145,113.431,119.765,119.571,136.87,135.729,138.088,95.2355,95.877,98.3529,83.2402,89.4799,82.8742,38.9125,45.399,45.2603,84.2917,84.3351,89.8288,41.9801,41.5183,41.5285
KRTAP22-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NDRG1,25.5045,24.7427,25.8348,56.2615,57.6606,56.0307,13.4205,14.7786,13.4273,44.2441,47.0062,46.7444,27.7061,25.6174,25.7586,16.3083,16.2409,16.393,13.4971,12.4598,13.7467,14.5574,14.4472,13.5272
CHRM1,0,0,0,0.0412747,0,0,0,0,0,0,0,0,0,0.0226892,0,0.233558,0.297526,0.327236,0.0368499,0.0370932,0.0194249,0.478102,0.328758,0.617706
RFXANK,78.451,78.6558,77.1267,73.5768,78.9092,76.5731,78.262,83.002,82.0113,85.6664,91.7261,84.5797,29.2498,35.2562,30.9726,36.0162,39.9227,42.7146,32.8005,31.5268,35.2815,40.9618,41.5924,42.7634
GIPC1,168.652,169.75,167.722,179.759,179.687,177.461,166.594,171.686,165.241,159.427,161.844,164.884,122.917,127.549,124.864,122.75,147.881,145.997,114.957,115.876,119.856,122.216,127,127.461
EPS8,54.6799,59.7189,60.5046,85.328,85.8734,84.7935,45.5373,47.4386,46.9549,110.215,104.221,109.922,14.5,13.7394,15.4079,22.0744,21.3341,22.1706,17.3644,16.1143,16.2869,35.6999,34.1942,34.2094
SEMG2,0,0,0,0,0,0,0,0,0,0.031169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTNAP3,1.28288,1.19201,1.05019,0.897642,0.744915,0.785642,1.29603,1.12152,1.32623,0.842772,0.694727,0.739776,2.96622,3.16148,2.86518,4.2663,3.84693,3.64056,2.87932,2.74859,2.78253,4.36361,4.37267,4.19965
SNORD77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMO6P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNF5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COX6B1,432.352,446.498,444.246,461.753,486.128,477.869,455.187,466.05,437.939,463.086,474.407,475.088,816.163,883.041,752.915,531.404,667.242,685.501,787.38,793.72,862.443,560.599,563.29,581.329
PLEKHF1,7.16603,5.63132,6.62514,22.3066,23.1023,21.2723,3.265,3.48881,3.0593,28.6736,30.2027,29.0375,2.93087,3.44831,2.84516,6.27467,6.42311,7.14434,2.01355,2.02684,1.89073,9.90363,8.15863,9.16559
LOC102723590,0,0,0,0,0,0,0.0748618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC-ROR,0,0.0246384,0,0,0,0,0,0,0,0,0,0,0.0127366,0,0.012533,0.00855005,0,0,0.0101175,0.0101843,0.0106666,0,0,0
SLC2A4RG,66.1192,68.6306,64.6421,46.8479,48.0178,43.5399,65.2968,64.4061,62.2646,41.8142,43.5587,44.6056,40.8517,40.5636,39.9685,23.0004,25.7581,22.9003,46.9666,47.2299,47.2356,23.988,26.5646,25.8706
MIR6827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYB5D1,7.75535,7.57865,7.45949,7.30714,6.40237,7.06088,7.50976,7.454,7.04,7.12867,6.72315,7.27391,4.62925,4.17607,5.24683,4.3046,4.50855,3.95665,4.64428,4.57899,5.54237,5.20886,4.47149,4.64477
SPATA22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SELO,11.2109,11.3869,11.0901,11.3711,11.1009,10.7453,10.1633,9.62407,9.97007,9.18586,10.039,10.1423,14.1331,12.9242,13.0009,9.54544,10.9185,11.6027,13.6733,13.3493,13.7647,10.6799,11.5595,11.0755
MIR4312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927623,0.0258529,0,0,0,0,0.0217949,0,0,0,0.024754,0.0255906,0,0,0,0,0.0182248,0,0.0273585,0,0,0,0,0,0
MIR4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COA1,129.533,123.213,132.44,90.5786,95.2883,98.0895,137.191,134.53,131.394,79.2111,83.0845,86.7656,128.17,124.476,122.199,50.4889,61.5014,57.3973,125.408,129.506,133.309,46.961,42.4199,46.2802
S100A10,735.468,755.878,758.549,1021.85,1037.12,1114.52,665.461,643.97,679.571,661.344,694.285,693.549,772.474,788.021,723.755,529.751,647.849,644.043,691.206,697.544,691.369,416.295,418.039,426.246
CACNA2D1,0.399595,0.340932,0.473174,0.343488,0.278894,0.309914,0.683508,0.572336,0.573195,0.428523,0.253146,0.397821,0.704967,0.591076,0.891871,1.74649,2.01464,1.8437,0.586664,0.603959,0.548207,1.51175,1.57019,1.24853
RIPK2,14.1659,14.7832,16.6165,27.4023,29.1646,28.2887,15.3324,15.7093,16.7011,23.4748,22.0073,22.3156,12.0946,11.6813,11.2233,12.2129,14.7988,13.5767,10.702,11.2011,11.2402,10.4048,12.0795,12.7704
TRPC4AP,24.3789,24.0159,24.1958,26.2511,26.8749,24.9203,24.9098,27.3012,25.8303,30.2159,33.3259,33.4037,15.3326,16.3194,16.6132,19.4588,19.7338,18.9472,18.3442,16.6203,20.0722,20.5341,22.466,21.7494
FAM132A,0.13823,0.140401,0.272851,0.258307,0.190413,0.699294,0.072086,0.206234,0.118025,0.066177,0.0684137,0.17202,0.290316,0.284031,0.571431,0.633385,1.19699,1.31652,0.230615,0.116069,0.121584,0.455384,0.685815,0.199953
MIR548F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1185-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRBP1,30.6665,30.1031,28.8483,30.2662,29.1952,29.3984,26.1381,27.2502,27.4824,25.7363,26.4209,27.3434,37.3882,36.0761,37.3193,41.5195,37.7353,35.9804,27.7216,28.0423,29.4294,29.4432,28.9054,29.2899
MIR214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF146,26.6492,27.1852,28.9911,21.9336,22.5808,25.1039,28.0324,30.9015,30.8765,23.7006,21.4588,23.1046,63.9547,55.8466,70.1271,43.8814,51.0308,53.9589,71.5864,69.2099,67.1251,56.8989,55.684,59.3262
USMG5,276.188,272.081,279.831,218.652,248.35,250.988,276.797,281.17,299.873,240.081,246.738,221.221,553.847,599.983,562.751,260.117,333.623,335.286,589.808,602.83,556.136,303.159,290.752,312.373
SERINC5,8.6011,8.87956,9.43308,13.3238,12.8404,12.5176,6.35133,5.87368,6.32819,18.2905,16.3787,17.3212,1.63497,1.88157,1.92289,5.25785,4.48519,4.74818,2.25292,1.97685,1.87959,7.54169,7.32945,7.39878
LOC101929715,0.256798,0,0.253459,0.239936,0.0786096,0,0.267837,0.425705,0.146175,0.0819608,0.0847309,0.071016,0.0898896,0.175897,0,0,0,0,0,0.143752,0.0752953,0,0,0.0825477
LOC100506384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCMH1,6.87723,7.67998,7.02685,5.97264,4.6087,4.60557,5.56653,6.8793,5.93926,4.53181,5.03019,5.30938,3.94383,4.24016,4.12375,5.79575,4.83303,4.75721,4.79961,4.0104,4.49189,5.48791,4.86211,5.44674
SPATA32,0,0,0.105893,0,0.147806,0,0,0.0533622,0,0,0.0531052,0.0890186,0.112677,0,0.0554429,0.0756395,0.154858,0.28387,0,0.0450485,0,0.0504954,0.212942,0.0517368
POMGNT1,32.8318,33.7536,31.181,33.4939,34.5571,31.5924,29.5726,29.52,28.0329,26.7985,28.2176,26.713,15.2353,16.1472,14.4963,11.6448,12.9919,10.7593,17.4831,18.5516,18.3853,10.7296,10.4288,9.76062
ADAP1,26.7628,28.2885,26.0034,19.768,20.5103,19.3765,29.3893,30.5149,28.6437,19.6925,20.732,18.6492,14.5814,15.401,15.6788,14.4188,14.9063,12.7993,19.5795,19.9267,20.0148,13.5241,13.2378,13.4873
MTRNR2L2,63.8437,67.6074,66.7824,164.009,187.786,199.64,66.4429,72.3409,73.0099,182.022,186.691,182.146,85.7319,82.8499,76.4981,160.338,182.741,224.076,82.0363,76.1989,85.7968,209.103,232.034,188.893
NSUN2,92.3456,89.3513,89.0899,60.1458,60.3151,58.8235,88.3038,91.2986,90.2572,54.338,53.5068,52.4096,64.8783,64.656,67.1244,34.8456,36.2248,33.8148,64.3961,63.3332,60.2979,31.0216,31.8478,32.0281
PDIK1L,2.66463,2.39432,2.15598,1.73921,1.91142,1.93704,1.3898,1.79096,1.5124,1.1777,1.24723,1.19297,3.47771,3.32377,3.5557,2.04403,1.96039,2.55287,4.14307,4.1691,3.1578,3.89,3.74828,3.78527
KRT25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAML3,2.27566,2.55875,2.65568,3.4365,3.34683,3.26688,2.44355,2.49734,2.50946,4.24128,4.10617,4.28682,0.595225,0.422654,0.577002,0.767969,0.654441,0.577612,0.700478,0.587587,0.620308,1.12017,1.01061,0.998067
RBP1,16.0191,20.3792,16.8519,58.405,54.7789,61.8824,19.9837,19.0636,21.5741,98.7582,102.111,100.763,2.89768,3.78011,3.11116,4.30302,4.74674,5.34197,0.976521,0.912757,0.956175,2.5187,2.15798,2.58045
LANCL3,0.734814,0.766161,0.464921,0.248462,0.33142,0.304236,0.882723,1.3225,0.963035,0.272807,0.225615,0.173338,0.868949,0.807538,0.792309,0.451874,0.587333,0.626144,0.88712,0.985133,0.837434,0.496673,0.513779,0.570591
MIR122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC391003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC102723578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR3146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGIS,4.67414,4.99227,4.91605,18.1276,17.0961,17.2754,4.31106,4.52663,4.49381,30.3004,28.255,29.5626,0,0,0.0221293,0.0150974,0.020606,0.0453275,0.017865,0,0.00941695,0.141082,0.0425024,0.0309794
LOC100270679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFP36,5.75938,6.4956,5.79435,8.35137,9.17005,9.45888,5.5389,6.39812,5.10915,8.88062,8.21827,9.64943,6.75497,7.60696,7.22695,17.5847,15.3289,15.1579,8.42317,7.94495,9.30834,19.183,21.4867,17.8523
STK32B,0,0,0,0,0,0,0,0,0,0,0,0,0.120671,0.137713,0.11874,0,0,0.0405347,0.111832,0.0321631,0,0,0,0
THEGL,0.0917881,0,0.0452916,0.0857612,0.0421465,0,0,0,0,0.0878866,0,0,0,0.0471475,0,0,0.0441574,0.0485669,0,0,0,0.0431949,0,0.0885158
KCNK18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOL3,6.16944,6.57823,5.56154,10.51,9.91786,9.85879,3.99391,5.09315,4.45352,8.91888,9.11732,8.80113,2.05687,2.30458,1.72026,11.5193,13.3138,12.6012,1.60949,1.64509,1.77738,17.2995,17.2504,17.2721
RNASE13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290943,0,0,0,0,0,0,0,0
ATG3,62.4712,64.3574,63.1399,43.0482,43.7381,43.6067,69.1425,65.6527,64.3628,43.9933,43.2512,41.1609,93.5413,96.6761,92.6021,50.1016,56.066,62.0438,89.343,96.625,92.4738,60.9308,64.0475,62.5876
PCDHGA8,0.00606969,2.00E-126,0.00434367,0.0170153,3.82E-188,8.66E-262,5.85E-190,1.93E-253,1.69E-218,0,8.14E-282,3.80E-279,0.282027,0.232458,0.303543,0.712704,0.590342,0.575844,0.316337,0.323381,0.170395,0.433029,0.985273,0.77112
OR6C70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM21EP,0.919022,1.09234,0.776663,1.73106,1.73734,1.61962,0.912643,0.82172,1.18121,2.1999,2.51135,2.03996,0.497942,0.326408,0.358652,0.920096,1.19938,1.28811,0.407779,0.472042,0.545998,1.10416,1.34849,0.975827
COL11A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD96A,0,0,2747.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695.06,0,0,0,0
UPP2,0,0,0,0,0.0481625,0,0,0,0,0,0,0.021755,0,0,0,0.0369958,0,0,0,0,0,0.0493575,0.130189,0.0252877
FFAR2,0,0,0,0,0,0,0,0,0.0267256,0,0,0,0,0.032154,0,0.0882606,0.0903486,0.0993708,0,0.0525652,0.027528,0.0589168,0.0931774,0.0603696
RAB35,17.3558,18.3417,17.7143,16.3066,14.4577,14.6111,20.0736,19.3323,18.6971,15.7018,16.4191,15.7923,21.0803,22.9355,21.401,19.5745,17.6344,16.2633,20.517,19.8198,22.2155,15.9679,16.6478,15.5035
ACADVL,95.2084,95.7305,91.7105,124.4,126.212,122.111,100.493,100.965,98.779,146.489,153.652,156.045,66.7411,64.9499,62.3133,79.5797,83.4442,82.0881,68.532,68.342,68.2402,98.6349,96.2547,97.594
HNF4A-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123345,0,0
COPG2,14.5682,14.6433,13.1443,14.6723,14.9423,14.1323,12.8265,13.4364,14.2804,13.1519,13.4091,12.306,7.15248,8.00762,6.92113,9.33612,10.9951,9.20994,8.77498,7.14895,7.28819,9.2238,10.1754,10.2538
PCP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NXPH3,0.0216208,0.0109802,0,0.0101006,0.00992766,0.0546788,0.0451005,0.0322576,0.0276908,0.0207018,0.0535037,0.0358747,0.0908178,0.133253,0.0893619,0.198138,0.197625,0.286,0.0991952,0.0816957,0.123588,0.345898,0.407625,0.3336
CNPPD1,18.1359,17.9492,15.8507,21.4271,20.7192,19.5424,13.6218,14.0678,14.1902,19.3504,17.7068,18.9232,18.0699,22.0957,19.0926,29.5402,27.4251,28.8209,18.3813,17.2294,18.5357,30.2047,33.5658,30.7705
NOMO1,23.8234,24.5729,23.0459,20.6515,19.4158,19.7614,22.6348,23.5607,22.3924,20.5161,20.9041,21.4828,29.8537,28.7694,28.9345,34.7535,29.7887,28.1759,32.0716,28.9451,32.6306,28.0453,27.0802,26.6489
SLC25A22,8.95155,8.795,9.161,8.11476,7.86298,7.40324,8.41372,8.49701,8.08843,6.59694,6.96729,7.10346,6.51324,6.22726,5.96713,3.90195,3.67339,3.98584,6.46853,6.43453,6.82096,5.25319,4.87793,4.66859
PASD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf129,0,0,0.0378625,0.0716957,0.0352342,0.0970386,0.0400164,0,0.0327591,0.0367363,0.0759557,0.0636612,0,0,0.0396477,0.216373,0.147661,0.203008,0.0320048,0.0322162,0.067487,0.0361098,0.114213,0.0369993
SELENBP1,5.26768,4.78937,5.07243,9.11684,8.89466,9.88329,6.64914,6.76163,7.47343,19.4813,20.5713,21.2151,5.81392,5.19903,5.09865,75.1328,81.4574,83.509,4.78821,4.52988,5.86486,123.791,128.187,131.055
LOC101929099,1.07867,1.02257,0.887066,0.638302,0.495296,0.39407,0.562522,0.572212,0.491204,0.240992,0.391501,0.387791,0.151032,0.0738732,0.0371556,0.101387,0.103785,0.152199,0.119973,0.0301914,0.0316225,0.10152,0,0.17337
SCN1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMGN5,4.09496,5.50492,4.27871,3.31968,4.64542,4.46762,7.25441,7.3674,7.63555,4.67048,5.18599,5.49565,4.90096,3.49518,5.72501,2.0589,3.07088,3.95108,3.34055,3.79242,3.46898,2.06865,2.86825,2.35196
