Date Time,Elapsed,UT,UT,UT,UT,E,E,E,E,R,R,R,R,C,C,C,C,X,X,X,X,T,T,T,T,D,D,D,D,ER,ER,ER,ER,EC,EC,EC,EC,EX,EX,EX,EX,ET,ET,ET,ET,ED,ED,ED,ED
11/21/22 10:00,140,0.06485255,0.04958339,0.03569538,0.04588612,0.2808674,0.2537578,0.2538312,0.2642282,0.08082637,0.08001083,0.05128951,0.06811848,0.009912935,0.01080499,0.007538376,0.006277311,0.01199104,0.0139507,0.007233606,0.01288234,0.1904049,0.1434699,0.1758395,0.3027541,0.0389445,0.08460924,0.0359908,0.02902026,0.5235895,0.415206,0.4652837,0.4346353,0.1334757,0.2075318,0.2054647,0.3170301,0.1120441,0.1661051,0.1680094,0.235742,0.702703,0.6982092,0.3270109,0.5380497,0.05680507,0.03598483,0.0947233,0.03605509
11/21/22 14:00,144,0.07038878,0.05529649,0.03971688,0.05009076,0.2605903,0.2696339,0.3158073,0.292454,0.07621308,0.08311167,0.05671406,0.06055674,0.009331529,0.009243831,0.006406846,0.00510479,0.009489771,0.01335208,0.008484055,0.01456404,0.1850255,0.1348786,0.1692674,0.2783169,0.05510482,0.0546081,0.02232652,0.02483841,0.4327212,0.4104908,0.419242,0.4411101,0.124944,0.1992035,0.1742508,0.2726177,0.09178224,0.1685948,0.150981,0.1799889,0.6735786,0.615415,0.3370188,0.5255856,0.05743831,0.01734255,0.1070515,0.06648302
11/21/22 18:00,148,0.0833729,0.0602166,0.04672745,0.05383959,0.2982239,0.2478584,0.2654042,0.2837304,0.07896332,0.0920357,0.06730622,0.06875393,0.00853519,0.008132255,0.005998161,0.00503051,0.01256481,0.01252617,0.008133404,0.01386408,0.1928114,0.1482581,0.1818393,0.2987393,0.03022663,0.0659496,0.01990613,0.02029196,0.5113631,0.4161275,0.4776746,0.4458808,0.1538307,0.1569989,0.1913702,0.2842903,0.1142071,0.1772532,0.177157,0.2381439,0.7222444,0.6576653,0.3124456,0.5551715,0.04735534,0.03729106,0.22568,0.03301929
11/21/22 22:00,152,0.09011891,0.07238905,0.05380089,0.06346259,0.289151,0.2734951,0.2852968,0.2582163,0.0837414,0.08925665,0.07068412,0.07096609,0.007808222,0.007326058,0.005361112,0.00422079,0.009744622,0.01088133,0.007971041,0.01178289,0.1799907,0.1419525,0.1585331,0.3107636,0.02639031,0.06277688,0.01537589,0.02041253,0.5188318,0.4134587,0.4728047,0.4045132,0.1593072,0.1679974,0.1886352,0.2754369,0.1161592,0.1861185,0.1677995,0.22995,0.7072101,0.6703557,0.3290628,0.6622028,0.05046379,0.04224065,0.1572901,0.03264705
11/22/22 2:00,156,0.09596206,0.08553431,0.06050353,0.06760954,0.2948659,0.2570828,0.2806025,0.2677623,0.09144697,0.09713139,0.08070286,0.07642249,0.007118278,0.00631709,0.004677462,0.004180858,0.009520198,0.0102699,0.007385136,0.01042926,0.1893809,0.1494087,0.1645963,0.3073875,0.02011293,0.06113368,0.01535104,0.02177673,0.5030581,0.4195743,0.4910764,0.3949407,0.1728729,0.1804098,0.164546,0.2927649,0.1300095,0.1811078,0.1801376,0.2295897,0.7204496,0.6427258,0.338854,0.6036527,0.04399193,0.04148055,0.1744504,0.04050948
11/22/22 6:00,160,0.1000183,0.09942083,0.06801041,0.07995896,0.2984657,0.256958,0.2848066,0.2608404,0.1050916,0.1074635,0.0891785,0.08177546,0.005817715,0.005346946,0.004247808,0.003978232,0.01132626,0.01036201,0.007135494,0.009041934,0.2010167,0.150045,0.1672409,0.2918765,0.01345902,0.06836203,0.01353065,0.0246958,0.4914967,0.4222339,0.503581,0.4121003,0.1855727,0.1865616,0.1685112,0.2999544,0.1735345,0.1892353,0.1760886,0.2368742,0.7849417,0.6245066,0.3319711,0.538101,0.03455109,0.04463772,0.2460477,0.04267552
11/22/22 10:00,164,0.1049745,0.1101379,0.07597265,0.08700293,0.3134917,0.261062,0.2961754,0.2562364,0.1143894,0.120134,0.09660202,0.08291335,0.005833175,0.005089533,0.003508887,0.003347895,0.01118102,0.009765991,0.008097404,0.00970562,0.2058412,0.1542933,0.1751712,0.3065629,0.02567297,0.0692815,0.01164667,0.02791037,0.4189056,0.4275251,0.4736125,0.4153023,0.1479442,0.1963786,0.169484,0.2803987,0.1593734,0.1928891,0.1847212,0.2300303,0.8049527,0.5940419,0.3246819,0.5261955,0.0302211,0.04707978,0.1761657,0.03646195
11/22/22 14:00,168,0.1098248,0.1245538,0.08156346,0.09368996,0.286961,0.2780637,0.3207395,0.2531419,0.1120885,0.1254513,0.1007253,0.08133215,0.005116604,0.004951986,0.003559684,0.003239831,0.01125737,0.009441178,0.00915764,0.009108782,0.1748676,0.1393173,0.1829868,0.3021289,0.02600323,0.08667578,0.007033677,0.02568364,0.4667959,0.4079338,0.4738838,0.46792,0.1589214,0.2334531,0.1897337,0.2615891,0.119092,0.2218645,0.1641053,0.2312516,0.7651877,0.5221994,0.3669808,0.5425593,0.03485933,0.02754997,0.1473666,0.05423572
11/22/22 18:00,172,0.124424,0.1345519,0.08708447,0.09969291,0.2845162,0.3154359,0.3381708,0.2557231,0.1165573,0.130238,0.1074703,0.0884416,0.004637426,0.004350954,0.003068028,0.003180865,0.01130402,0.009849762,0.008994998,0.00847182,0.1961322,0.1405877,0.1788866,0.2992515,0.03445827,0.09735405,0.01370799,0.02391526,0.4415341,0.395828,0.415819,0.4362795,0.1406616,0.2236214,0.1827105,0.211856,0.1591082,0.2176434,0.1964993,0.2054211,0.8220308,0.6512501,0.372946,0.4858611,0.04040117,0.03063642,0.1519244,0.05898671
11/22/22 22:00,176,0.1304987,0.1434258,0.09349084,0.1082621,0.2495428,0.2742999,0.4061878,0.2417237,0.1203926,0.1343292,0.119165,0.09215626,0.003954488,0.004190021,0.002956828,0.003007435,0.01079932,0.0112286,0.009514289,0.008621162,0.1797022,0.1430667,0.1950254,0.2668077,0.04049861,0.08673886,0.01584092,0.02202874,0.3734163,0.3897456,0.4187262,0.42614,0.106293,0.2298333,0.1427316,0.202205,0.1282941,0.2154389,0.1600678,0.2125728,0.6486148,0.5908301,0.4088941,0.4849237,0.07613345,0.02645318,0.1752672,0.04426201
