Date Time,Elapsed,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,E,E,E,E,EA,EA,EA,EA,EA,EA,EA,EA,EA,EA
12/2/22 7:02,208,0.000108697,0.001402675,6.75E-05,0.01196825,0.01581456,0.007170192,0.01216707,0.01474434,0.03157048,0.01720331,0.01617374,0.01296071,0.01318328,0.2634109,0.3138756,0.3400369,0.264618,0.2509962,0.3381803,0.3041852,0.2841609,0.3029687,0.407278,0.2285964,0.291246,0.6106009,0.5203475
12/2/22 11:02,212,0.00010741,0.001419977,6.73E-05,0.01306064,0.01572503,0.00766616,0.01271219,0.01532519,0.02998113,0.01780764,0.0156838,0.0137524,0.01292525,0.2641651,0.2919603,0.3340234,0.2677708,0.2568781,0.3438478,0.3130432,0.2993799,0.3102401,0.4195979,0.2276641,0.2937809,0.5225273,0.5196579
12/2/22 15:02,216,0.000104474,0.001431549,7.20E-05,0.01396425,0.01581956,0.007597466,0.01183865,0.01528458,0.03026688,0.01772373,0.01762263,0.01405409,0.01273809,0.2484408,0.3189423,0.3434513,0.2805322,0.260939,0.3427991,0.3070738,0.3072017,0.3148574,0.4287433,0.2456455,0.3098313,0.5415503,0.5213537
12/2/22 19:02,220,2.29E-05,0.001491268,1.66E-05,0.01103904,0.006201791,0.004348326,0.005048268,0.03063343,0.03700594,0.03620251,0.04299262,0.02172868,0.03201884,0.241174,0.3176014,0.3495293,0.2772217,0.2420079,0.3091162,0.3138329,0.2650136,0.2966116,0.4097434,0.2136464,0.2676918,0.5850394,0.616098
12/2/22 23:02,224,3.03E-05,0.001599355,1.70E-05,0.009344611,0.006237923,0.004678932,0.005612748,0.0278389,0.03974452,0.03295324,0.02672645,0.01776327,0.03417685,0.231981,0.3304923,0.3383075,0.2704766,0.2640016,0.3307039,0.3287566,0.2878435,0.3124859,0.4422641,0.2357652,0.2921707,0.5627847,0.6034735
12/3/22 3:02,228,4.37E-05,0.001534435,2.15E-05,0.01183796,0.007225153,0.004816725,0.006697566,0.02797972,0.04691739,0.03470472,0.02371482,0.0305062,0.04182096,0.2166143,0.328335,0.339065,0.2773104,0.2987218,0.36248,0.3481179,0.3457053,0.3483493,0.4766943,0.2743092,0.3260546,0.5657349,0.5871685
12/3/22 7:02,232,5.28E-05,0.001519488,2.10E-05,0.0098944,0.006975121,0.004952808,0.006200646,0.02956709,0.0342869,0.03310185,0.02813074,0.0185227,0.02339492,0.2323732,0.3069911,0.3384769,0.2262674,0.3205045,0.3804141,0.3481325,0.3813053,0.3744377,0.4556541,0.3001427,0.3497464,0.4925534,0.6081662
12/3/22 11:02,236,3.47E-05,0.00160409,2.30E-05,0.01236406,0.007612023,0.005672575,0.005118663,0.0342472,0.04018232,0.02671512,0.03093732,0.02287441,0.02909072,0.2276664,0.334661,0.3216497,0.2301392,0.327991,0.3870224,0.3325619,0.3813781,0.3807333,0.4650999,0.3015354,0.3621606,0.5097129,0.5658844
12/3/22 15:02,240,4.62E-05,0.00160846,2.24E-05,0.01211395,0.00742123,0.00615298,0.006515814,0.03006769,0.04238966,0.03571508,0.02896692,0.02214272,0.03253856,0.2422757,0.3231,0.341688,0.2351324,0.3219587,0.3829958,0.3332766,0.3779362,0.3785486,0.449479,0.2944729,0.3556451,0.5338919,0.5479023
12/3/22 19:02,244,4.97E-05,0.001626149,5.53E-05,0.01286589,0.008635867,0.006669997,0.00626709,0.03196814,0.03869466,0.03832981,0.0316712,0.02464571,0.03133304,0.2416701,0.3190177,0.346429,0.22909,0.3213561,0.3831177,0.3221492,0.3798351,0.3748012,0.4667643,0.3081574,0.3590918,0.5147103,0.5719677
12/3/22 23:02,248,5.72E-05,0.0016639,5.52E-05,0.01214231,0.009049307,0.006888893,0.006304984,0.03174784,0.0450035,0.04229989,0.04567227,0.04128649,0.03252601,0.243613,0.3190993,0.3466483,0.2221706,0.3297507,0.3896327,0.3146176,0.3901124,0.3850157,0.4360133,0.2899786,0.3560218,0.4365061,0.5643794
12/4/22 3:02,252,5.47E-05,0.001667935,5.89E-05,0.01312695,0.00947662,0.008372854,0.008171013,0.03472342,0.04347543,0.05424614,0.04234212,0.0232753,0.03313917,0.2536292,0.3041318,0.3341154,0.2135547,0.3352028,0.3905293,0.3051985,0.3822122,0.3884974,0.4535103,0.2757464,0.3555457,0.5209337,0.569675
12/4/22 7:02,256,4.78E-05,0.001761904,6.12E-05,0.01254797,0.009720154,0.008294131,0.00720726,0.03653965,0.03900538,0.03808574,0.034203,0.02790724,0.03485257,0.2554664,0.2967528,0.3376264,0.213352,0.3355523,0.4027273,0.3029487,0.3850725,0.3910608,0.431709,0.2602002,0.3573536,0.4243422,0.5595412
12/4/22 11:02,260,4.35E-05,0.001796511,5.28E-05,0.01244033,0.009572079,0.008686461,0.008282622,0.03573617,0.04183163,0.03971303,0.04082191,0.02321678,0.02952977,0.2387952,0.314824,0.3255899,0.200358,0.3387891,0.4134959,0.2899931,0.385889,0.3916971,0.4267719,0.2621296,0.3640875,0.5062364,0.5621927
12/4/22 15:02,264,5.49E-05,0.001797036,4.38E-05,0.01331592,0.009501946,0.008594606,0.007272851,0.03712316,0.0450539,0.0462519,0.04853951,0.02541741,0.02777645,0.2736953,0.3292058,0.3118054,0.2000801,0.3436425,0.4169183,0.2714119,0.3915322,0.3952588,0.4348287,0.2696913,0.3720452,0.5377751,0.5994912
